order_id,order_timestamp,delivered_timestamp,driver_id,restaurant_id,cust_id,delivery_region,discount_applied,discount_code,order_total,discount_pc,status
100028,20/10/2021 17:14,20/10/2021 17:41,141,29,1077,Cork,FALSE,,42.92,,COMPLETED
100029,13/04/2021 18:00,13/04/2021 18:27,170,98,1080,Dublin,FALSE,,42.87,,COMPLETED
100030,23/04/2021 18:27,23/04/2021 18:54,222,20,1079,Dublin,FALSE,,42.87,,COMPLETED
100031,22/07/2021 23:42,,66,63,1081,Cork,FALSE,,42.87,,CANCELLED
100032,10/02/2021 20:12,10/02/2021 20:39,345,97,1083,Dublin,FALSE,,42.76,,COMPLETED
100033,07/06/2021 18:42,07/06/2021 19:12,198,20,1084,Dublin,FALSE,,42.7,,COMPLETED
100034,26/11/2021 18:22,26/11/2021 18:49,343,232,1086,Dublin,TRUE,BLACKFRIDAY21,42.38,20,COMPLETED
100035,17/12/2021 17:00,17/12/2021 17:33,379,8,1087,Dublin,FALSE,,42.38,,COMPLETED
100036,26/11/2021 20:52,26/11/2021 21:19,184,224,1092,Dublin,TRUE,BLACKFRIDAY21,41.89,20,COMPLETED
100037,09/11/2021 20:07,09/11/2021 20:34,349,20,1097,Dublin,FALSE,,41.78,,COMPLETED
100038,09/05/2021 19:38,09/05/2021 20:05,154,20,1098,Dublin,FALSE,,41.72,,COMPLETED
100039,23/11/2021 17:38,23/11/2021 18:05,356,84,1099,Dublin,FALSE,,41.67,,COMPLETED
100040,26/06/2021 17:15,26/06/2021 17:45,315,94,1100,Dublin,FALSE,,41.62,,COMPLETED
100041,19/12/2021 20:29,19/12/2021 20:56,84,70,1101,Dublin,FALSE,,41.37,,COMPLETED
100042,26/08/2021 18:30,26/08/2021 19:00,229,27,1103,Cork,FALSE,,41.24,,COMPLETED
100043,14/03/2021 23:34,15/03/2021 00:01,367,249,1105,Dublin,FALSE,,41.18,,COMPLETED
100044,09/09/2021 17:49,09/09/2021 18:19,163,77,1111,Cork,FALSE,,40.75,,COMPLETED
100045,19/12/2021 21:45,19/12/2021 22:18,172,76,1112,Dublin,FALSE,,40.75,,COMPLETED
100046,07/05/2021 21:01,07/05/2021 21:28,320,44,1117,Dublin,FALSE,,40.69,,COMPLETED
100047,26/11/2021 17:14,26/11/2021 17:41,350,41,1119,Dublin,TRUE,BLACKFRIDAY21,40.64,20,COMPLETED
100048,02/05/2021 19:18,02/05/2021 19:45,227,281,1121,Dublin,FALSE,,40.28,,COMPLETED
100049,16/04/2021 18:36,16/04/2021 19:03,248,264,1122,Dublin,FALSE,,40.26,,COMPLETED
100050,16/06/2021 17:23,16/06/2021 17:53,41,8,1123,Dublin,FALSE,,40.26,,COMPLETED
100051,26/07/2021 17:44,26/07/2021 18:14,417,27,1125,Cork,FALSE,,40.2,,COMPLETED
100052,16/02/2021 17:56,16/02/2021 18:23,63,91,1129,Dublin,FALSE,,40.15,,COMPLETED
100053,03/09/2021 21:27,03/09/2021 21:57,277,6,1130,Cork,FALSE,,40.15,,COMPLETED
100054,29/10/2021 20:28,29/10/2021 20:58,179,10,1135,Cork,FALSE,,39.71,,COMPLETED
100055,19/07/2021 18:19,19/07/2021 18:49,156,68,1137,Cork,FALSE,,39.66,,COMPLETED
100056,16/10/2021 21:40,16/10/2021 22:16,195,241,1139,Cork,FALSE,,39.63,,COMPLETED
100057,12/07/2021 18:31,12/07/2021 19:01,308,211,1141,Cork,FALSE,,39.6,,COMPLETED
100058,16/07/2021 17:50,16/07/2021 18:20,76,127,1140,Cork,FALSE,,39.6,,COMPLETED
100059,04/12/2021 21:59,04/12/2021 22:26,87,45,1142,Dublin,TRUE,HAPPYBIRTHDAY,39.6,10,COMPLETED
100060,21/08/2021 23:42,22/08/2021 00:12,36,311,1144,Cork,TRUE,HAPPYBIRTHDAY,39.57,10,COMPLETED
100061,20/02/2021 21:57,20/02/2021 22:24,355,48,1145,Dublin,FALSE,,39.55,,COMPLETED
100062,04/06/2021 17:21,04/06/2021 17:51,34,20,1146,Dublin,FALSE,,39.55,,COMPLETED
100063,20/12/2021 19:26,20/12/2021 19:53,84,79,1150,Dublin,FALSE,,39.25,,COMPLETED
100064,18/07/2021 17:24,18/07/2021 17:54,264,194,1151,Cork,FALSE,,39.17,,COMPLETED
100065,02/03/2021 20:12,,204,241,1153,Dublin,FALSE,,39.11,,CANCELLED
100066,29/05/2021 19:15,29/05/2021 19:42,327,107,1154,Dublin,FALSE,,39.11,,COMPLETED
100067,18/10/2021 19:14,18/10/2021 19:44,315,68,1155,Cork,FALSE,,39.11,,COMPLETED
100068,11/11/2021 23:38,12/11/2021 00:05,60,104,1157,Dublin,FALSE,,39.11,,COMPLETED
100069,16/11/2021 17:33,16/11/2021 18:00,109,170,1156,Dublin,FALSE,,39.11,,COMPLETED
100070,28/05/2021 18:52,28/05/2021 19:19,131,346,1158,Dublin,TRUE,HAPPYBIRTHDAY,38.63,10,COMPLETED
100071,16/07/2021 17:18,16/07/2021 17:48,76,280,1161,Cork,FALSE,,38.59,,COMPLETED
100072,21/04/2021 16:29,21/04/2021 16:56,320,8,1162,Dublin,FALSE,,38.57,,COMPLETED
100073,26/06/2021 20:14,26/06/2021 20:44,276,4,1164,Dublin,FALSE,,38.52,,COMPLETED
100074,12/04/2021 17:46,12/04/2021 18:13,243,194,1168,Dublin,FALSE,,38.08,,COMPLETED
100075,14/05/2021 17:17,14/05/2021 17:44,255,39,1169,Dublin,FALSE,,38.08,,COMPLETED
100076,29/11/2021 17:37,29/11/2021 18:04,117,98,1172,Dublin,FALSE,,38.03,,COMPLETED
100077,29/07/2021 20:47,29/07/2021 21:17,428,20,1173,Cork,FALSE,,38.02,,COMPLETED
100078,26/11/2021 17:43,26/11/2021 18:10,275,28,1174,Dublin,TRUE,BLACKFRIDAY21,37.97,20,COMPLETED
100079,13/12/2021 19:42,13/12/2021 20:15,255,83,1175,Dublin,FALSE,,37.92,,COMPLETED
100080,26/11/2021 19:49,26/11/2021 20:16,254,107,1177,Dublin,TRUE,BLACKFRIDAY21,37.54,20,COMPLETED
100081,08/10/2021 20:19,08/10/2021 20:59,343,84,1183,Cork,FALSE,,37.43,,COMPLETED
100082,19/08/2021 18:53,19/08/2021 19:23,200,20,1185,Cork,FALSE,,37.37,,COMPLETED
100083,26/06/2021 16:36,26/06/2021 17:06,257,154,1189,Dublin,FALSE,,36.99,,COMPLETED
100084,05/08/2021 18:46,05/08/2021 19:16,125,124,1190,Cork,FALSE,,36.99,,COMPLETED
100085,19/03/2021 21:13,19/03/2021 21:40,288,18,1193,Dublin,FALSE,,36.88,,COMPLETED
100086,15/06/2021 21:06,15/06/2021 21:33,144,353,1195,Dublin,FALSE,,36.72,,COMPLETED
100087,27/08/2021 18:14,27/08/2021 18:44,177,194,1197,Cork,FALSE,,36.45,,COMPLETED
100088,04/10/2021 20:44,04/10/2021 21:23,328,3,1198,Cork,FALSE,,36.45,,COMPLETED
100089,06/02/2021 17:20,06/02/2021 17:47,276,8,1201,Dublin,FALSE,,36.4,,COMPLETED
100090,23/08/2021 17:35,23/08/2021 18:05,200,104,1202,Cork,FALSE,,36.4,,COMPLETED
100091,20/11/2021 17:01,20/11/2021 17:28,366,8,1205,Dublin,FALSE,,36.34,,COMPLETED
100092,27/11/2021 20:55,27/11/2021 21:22,143,107,1204,Dublin,TRUE,HAPPYBIRTHDAY,36.34,10,COMPLETED
100093,27/11/2021 23:48,28/11/2021 00:15,144,205,1207,Dublin,FALSE,,36.29,,COMPLETED
100094,10/05/2021 23:51,11/05/2021 00:18,317,190,1209,Dublin,FALSE,,36.23,,COMPLETED
100095,12/04/2021 23:58,13/04/2021 00:25,117,76,1217,Dublin,FALSE,,35.8,,COMPLETED
100096,15/08/2021 23:44,16/08/2021 00:14,225,12,1218,Cork,FALSE,,35.8,,COMPLETED
100097,26/06/2021 22:12,26/06/2021 22:42,87,233,1220,Dublin,TRUE,HAPPYBIRTHDAY,35.76,10,COMPLETED
100098,30/11/2021 18:58,30/11/2021 19:25,366,233,1221,Dublin,FALSE,,35.76,,COMPLETED
100099,27/07/2021 20:17,27/07/2021 20:47,48,15,1223,Cork,FALSE,,35.69,,COMPLETED
100100,26/06/2021 21:00,26/06/2021 21:30,184,225,1227,Dublin,FALSE,,35.31,,COMPLETED
100101,27/04/2021 18:50,27/04/2021 19:17,274,221,1231,Dublin,FALSE,,35.14,,COMPLETED
100102,26/03/2021 18:20,26/03/2021 18:47,184,98,1232,Dublin,FALSE,,34.82,,COMPLETED
100103,21/06/2021 20:51,21/06/2021 21:21,222,68,1235,Dublin,FALSE,,34.76,,COMPLETED
100104,26/11/2021 20:09,26/11/2021 20:36,275,9,1236,Dublin,TRUE,BLACKFRIDAY21,34.76,20,COMPLETED
100105,24/12/2021 17:47,24/12/2021 18:14,276,227,1243,Dublin,FALSE,,34.64,,COMPLETED
100106,12/08/2021 18:32,12/08/2021 19:02,354,124,1244,Cork,FALSE,,34.27,,COMPLETED
100107,05/07/2021 17:23,05/07/2021 17:53,319,20,1247,Cork,FALSE,,34.17,,COMPLETED
100108,18/08/2021 20:51,18/08/2021 21:21,147,14,1249,Cork,FALSE,,33.95,,COMPLETED
100109,30/03/2021 19:19,30/03/2021 19:46,168,253,1146,Dublin,FALSE,,33.68,,COMPLETED
100110,05/05/2021 19:54,05/05/2021 20:21,220,201,1150,Dublin,FALSE,,33.68,,COMPLETED
100111,07/06/2021 17:39,07/06/2021 18:09,255,219,1151,Dublin,FALSE,,33.68,,COMPLETED
100112,04/05/2021 23:18,04/05/2021 23:45,98,8,1156,Dublin,FALSE,,33.62,,COMPLETED
100113,18/05/2021 23:55,19/05/2021 00:22,373,181,1169,Dublin,FALSE,,33.19,,COMPLETED
100114,22/10/2021 18:22,22/10/2021 19:01,166,4,1172,Cork,FALSE,,33.19,,COMPLETED
100115,26/11/2021 18:22,26/11/2021 18:49,274,62,1173,Kerry,TRUE,BLACKFRIDAY21,33.19,20,COMPLETED
100116,08/12/2021 19:27,08/12/2021 19:54,139,44,1174,Kerry,FALSE,,33.19,,COMPLETED
100117,17/10/2021 17:34,,232,188,1190,Kerry,FALSE,,33.02,,CANCELLED
100118,02/08/2021 16:32,02/08/2021 17:02,168,297,1195,Kerry,FALSE,,32.71,,COMPLETED
100119,09/07/2021 19:20,09/07/2021 19:50,319,7,1202,Kerry,FALSE,,32.64,,COMPLETED
100120,23/12/2021 21:38,23/12/2021 22:05,313,63,1201,Kerry,FALSE,,32.64,,COMPLETED
100121,13/08/2021 19:29,13/08/2021 19:59,112,12,1207,Kerry,FALSE,,32.59,,COMPLETED
100122,22/09/2021 23:55,23/09/2021 00:25,60,8,1205,Sligo,FALSE,,32.59,,COMPLETED
100123,26/12/2021 20:46,26/12/2021 21:13,314,12,1249,Sligo,FALSE,,32.05,,COMPLETED
100124,22/02/2021 20:26,22/02/2021 20:53,311,19,1146,Sligo,FALSE,,31.99,,COMPLETED
100125,12/07/2021 18:20,12/07/2021 18:50,314,48,1151,Sligo,FALSE,,31.99,,COMPLETED
100126,04/08/2021 17:01,04/08/2021 17:31,189,170,1153,Sligo,FALSE,,31.99,,COMPLETED
100127,26/11/2021 20:07,26/11/2021 20:34,168,170,1154,Sligo,TRUE,BLACKFRIDAY21,31.99,20,COMPLETED
100128,08/07/2021 19:27,08/07/2021 19:57,117,225,1174,Sligo,FALSE,,31.5,,COMPLETED
100129,20/11/2021 20:41,20/11/2021 21:08,36,319,1190,Sligo,TRUE,HAPPYBIRTHDAY,31.33,10,COMPLETED
100130,19/05/2021 20:42,19/05/2021 21:09,115,20,1195,Sligo,FALSE,,31.19,,COMPLETED
100131,20/03/2021 20:28,20/03/2021 20:55,324,107,1197,Sligo,FALSE,,31.12,,COMPLETED
100132,28/10/2021 17:17,28/10/2021 17:44,267,97,1201,Sligo,FALSE,,31.05,,COMPLETED
100133,06/12/2021 18:06,06/12/2021 18:33,60,100,1202,Sligo,FALSE,,31.01,,COMPLETED
100134,26/11/2021 20:48,26/11/2021 21:15,50,3,1217,Sligo,TRUE,BLACKFRIDAY21,30.96,20,COMPLETED
100135,12/03/2021 17:54,12/03/2021 18:21,328,10,1221,Sligo,FALSE,,30.91,,COMPLETED
100136,29/11/2021 23:47,30/11/2021 00:14,195,10,1231,Sligo,FALSE,,30.84,,COMPLETED
100137,24/12/2021 23:02,24/12/2021 23:35,353,9,1232,Sligo,FALSE,,30.77,,COMPLETED
100138,22/07/2021 23:41,23/07/2021 00:11,319,107,1244,Sligo,FALSE,,30.56,,COMPLETED
100139,10/12/2021 20:06,10/12/2021 20:39,246,47,1017,Sligo,FALSE,,30.41,,COMPLETED
100140,19/06/2021 20:58,19/06/2021 21:28,386,63,1026,Sligo,FALSE,,30.36,,COMPLETED
100141,18/08/2021 17:13,18/08/2021 17:43,314,84,1029,Sligo,FALSE,,30.36,,COMPLETED
100142,20/11/2021 21:09,20/11/2021 21:36,248,240,1013,Sligo,FALSE,,30.36,,COMPLETED
100143,23/01/2021 18:16,23/01/2021 18:43,216,124,1017,Sligo,FALSE,,30.35,,COMPLETED
100144,14/11/2021 21:08,14/11/2021 21:35,240,12,1020,Sligo,FALSE,,30.25,,COMPLETED
100145,29/01/2021 17:28,29/01/2021 17:55,267,20,1024,Sligo,FALSE,,30.21,,COMPLETED
100146,14/12/2021 18:05,14/12/2021 18:32,200,9,1044,Sligo,FALSE,,30.07,,COMPLETED
100147,08/11/2021 16:48,08/11/2021 17:15,84,86,1045,Sligo,FALSE,,30.01,,COMPLETED
100148,04/06/2021 18:19,04/06/2021 18:49,303,308,1048,Sligo,FALSE,,29.94,,COMPLETED
100149,22/03/2021 18:46,22/03/2021 19:13,248,217,1058,Sligo,FALSE,,29.87,,COMPLETED
100150,20/05/2021 15:32,20/05/2021 15:59,388,28,1079,Dublin,FALSE,,29.82,,COMPLETED
100151,04/06/2021 17:28,04/06/2021 17:58,206,258,1080,Dublin,FALSE,,29.82,,COMPLETED
100152,14/09/2021 19:20,14/09/2021 19:50,368,20,1081,Cork,FALSE,,29.82,,COMPLETED
100153,05/03/2021 23:49,06/03/2021 00:16,116,211,1084,Dublin,FALSE,,29.79,,COMPLETED
100154,26/11/2021 20:09,26/11/2021 20:36,380,201,1098,Dublin,TRUE,BLACKFRIDAY21,29.66,20,COMPLETED
100155,16/04/2021 17:18,16/04/2021 17:45,222,8,1099,Dublin,FALSE,,29.65,,COMPLETED
100156,26/04/2021 18:58,26/04/2021 19:25,383,124,1101,Dublin,FALSE,,29.64,,COMPLETED
100157,22/07/2021 20:05,22/07/2021 20:35,279,154,1111,Cork,FALSE,,29.44,,COMPLETED
100158,26/03/2021 17:14,26/03/2021 17:41,168,194,1112,Dublin,FALSE,,29.38,,COMPLETED
100159,15/10/2021 18:05,15/10/2021 18:32,105,44,1117,Cork,FALSE,,29.38,,COMPLETED
100160,04/01/2021 18:13,04/01/2021 18:40,325,62,1121,Dublin,FALSE,,29.33,,COMPLETED
100161,11/08/2021 18:58,11/08/2021 19:28,163,30,1122,Cork,FALSE,,29.33,,COMPLETED
100162,28/08/2021 17:47,28/08/2021 18:17,262,10,1035,Cork,FALSE,,29.23,,COMPLETED
100163,23/07/2021 17:30,23/07/2021 18:00,155,41,1034,Cork,FALSE,,28.95,,COMPLETED
100164,26/12/2021 17:29,26/12/2021 18:02,60,9,1033,Dublin,FALSE,,28.84,,COMPLETED
100165,02/03/2021 19:39,02/03/2021 20:06,163,63,1029,Dublin,FALSE,,28.78,,COMPLETED
100166,09/04/2021 18:09,09/04/2021 18:36,320,8,1029,Dublin,FALSE,,28.78,,COMPLETED
100167,04/07/2021 19:02,04/07/2021 19:32,286,20,1032,Cork,FALSE,,28.78,,COMPLETED
100168,22/08/2021 23:06,22/08/2021 23:36,99,83,1031,Cork,FALSE,,28.78,,COMPLETED
100169,17/10/2021 17:14,17/10/2021 17:44,299,20,1030,Cork,FALSE,,28.78,,COMPLETED
100170,05/11/2021 23:39,06/11/2021 00:06,99,107,1028,Cork,FALSE,,28.78,,COMPLETED
100171,28/12/2021 17:05,28/12/2021 17:38,341,9,1032,Dublin,FALSE,,28.78,,COMPLETED
100172,29/12/2021 21:19,29/12/2021 21:52,207,45,1028,Dublin,FALSE,,28.78,,COMPLETED
100173,18/10/2021 17:52,18/10/2021 18:22,73,63,1027,Cork,TRUE,HAPPYBIRTHDAY,28.73,10,COMPLETED
100174,05/12/2021 17:17,05/12/2021 17:44,102,76,1027,Dublin,FALSE,,28.73,,COMPLETED
100175,02/02/2021 18:06,02/02/2021 18:33,287,87,1026,Dublin,FALSE,,28.62,,COMPLETED
100176,08/10/2021 18:11,,216,20,1363,Cork,FALSE,,28.62,,CANCELLED
100177,22/12/2021 18:30,22/12/2021 18:57,305,8,1364,Dublin,FALSE,,28.38,,COMPLETED
100178,10/08/2021 20:32,10/08/2021 21:02,190,187,1365,Cork,FALSE,,28.29,,COMPLETED
100179,23/12/2021 18:40,23/12/2021 19:13,133,207,1366,Kerry,FALSE,,28.29,,COMPLETED
100180,29/11/2021 17:13,29/11/2021 17:40,425,5,1367,Kerry,FALSE,,28.25,,COMPLETED
100181,23/07/2021 17:11,23/07/2021 17:41,147,6,1369,Kerry,FALSE,,28.24,,COMPLETED
100182,30/07/2021 18:27,30/07/2021 18:57,320,20,1368,Kerry,FALSE,,28.24,,COMPLETED
100183,09/08/2021 18:12,09/08/2021 18:42,343,107,1370,Kerry,FALSE,,28.12,,COMPLETED
100184,31/08/2021 23:14,31/08/2021 23:44,324,94,1371,Kerry,FALSE,,28.08,,COMPLETED
100185,26/11/2021 20:48,26/11/2021 21:15,303,316,1372,Kerry,TRUE,BLACKFRIDAY21,28.04,20,COMPLETED
100186,01/12/2021 20:48,01/12/2021 21:15,245,44,1373,Dublin,FALSE,,27.73,,COMPLETED
100187,07/10/2021 18:38,07/10/2021 19:28,257,155,1374,Cork,FALSE,,27.72,,COMPLETED
100188,09/02/2021 21:23,09/02/2021 21:50,36,170,1375,Dublin,TRUE,HAPPYBIRTHDAY,27.7,10,COMPLETED
100189,20/09/2021 17:02,20/09/2021 17:32,144,20,1377,Cork,FALSE,,27.64,,COMPLETED
100190,20/09/2021 21:35,20/09/2021 22:05,90,205,1376,Cork,FALSE,,27.64,,COMPLETED
100191,18/04/2021 23:18,18/04/2021 23:45,92,86,1279,Dublin,FALSE,,27.47,,COMPLETED
100192,30/06/2021 20:05,30/06/2021 20:35,172,8,1378,Dublin,FALSE,,27.21,,COMPLETED
100193,24/02/2021 21:00,24/02/2021 21:27,276,45,1379,Dublin,FALSE,,27.04,,COMPLETED
100194,22/12/2021 18:11,22/12/2021 18:38,41,10,1380,Dublin,FALSE,,26.66,,COMPLETED
100195,09/11/2021 22:57,09/11/2021 23:24,204,38,1381,Galway,FALSE,,26.61,,COMPLETED
100196,17/11/2021 20:05,17/11/2021 20:32,262,9,1382,Galway,FALSE,,26.12,,COMPLETED
100197,26/11/2021 20:09,26/11/2021 20:36,315,12,1384,Galway,TRUE,BLACKFRIDAY21,26.06,20,COMPLETED
100198,26/11/2021 21:53,26/11/2021 22:20,229,8,1383,Galway,TRUE,BLACKFRIDAY21,26.06,20,COMPLETED
100199,03/12/2021 22:57,03/12/2021 23:24,99,12,1386,Galway,FALSE,,26.06,,COMPLETED
100200,30/12/2021 20:27,30/12/2021 20:54,325,20,1385,Galway,FALSE,,26.06,,COMPLETED
100201,07/11/2021 20:54,07/11/2021 21:21,347,27,1387,Cork,FALSE,,25.96,,COMPLETED
100202,14/10/2021 18:36,14/10/2021 19:12,199,158,1388,Cork,FALSE,,25.79,,COMPLETED
100203,20/11/2021 20:38,20/11/2021 21:05,343,223,1389,Dublin,FALSE,,25.58,,COMPLETED
100204,16/09/2021 20:18,16/09/2021 20:48,84,211,1390,Cork,FALSE,,25.52,,COMPLETED
100205,18/12/2021 20:47,18/12/2021 21:14,195,12,1391,Dublin,FALSE,,25.47,,COMPLETED
100206,21/04/2021 20:46,21/04/2021 21:13,197,100,1392,Dublin,FALSE,,25.03,,COMPLETED
100207,10/11/2021 21:35,,353,3,1393,Dublin,FALSE,,25.03,,CANCELLED
100208,18/12/2021 18:37,18/12/2021 19:10,212,128,1394,Dublin,FALSE,,25.03,,COMPLETED
100209,05/02/2021 23:07,05/02/2021 23:34,198,8,1395,Dublin,FALSE,,24.98,,COMPLETED
100210,23/02/2021 23:28,23/02/2021 23:55,360,225,1396,Dublin,FALSE,,24.98,,COMPLETED
100211,07/04/2021 23:33,08/04/2021 00:00,311,57,1397,Dublin,FALSE,,24.98,,COMPLETED
100212,10/04/2021 21:42,10/04/2021 22:09,328,84,1398,Dublin,FALSE,,24.98,,COMPLETED
100213,05/12/2021 17:23,05/12/2021 17:50,69,6,1400,Dublin,FALSE,,24.98,,COMPLETED
100214,10/12/2021 18:23,10/12/2021 18:50,163,8,1399,Dublin,FALSE,,24.98,,COMPLETED
100215,12/12/2021 18:30,12/12/2021 19:03,34,18,1401,Dublin,FALSE,,24.98,,COMPLETED
100216,24/06/2021 19:09,24/06/2021 19:36,325,12,1402,Dublin,FALSE,,24.92,,COMPLETED
100217,19/01/2021 17:06,19/01/2021 17:33,156,8,1403,Dublin,FALSE,,24.71,,COMPLETED
100218,09/06/2021 20:01,09/06/2021 20:31,208,212,1404,Dublin,FALSE,,24.63,,COMPLETED
100219,09/08/2021 19:16,09/08/2021 19:46,222,6,1405,Cork,FALSE,,24.49,,COMPLETED
100220,22/11/2021 18:27,22/11/2021 18:54,391,9,1406,Dublin,FALSE,,24.49,,COMPLETED
100221,26/11/2021 20:09,26/11/2021 20:36,165,224,1265,Dublin,TRUE,BLACKFRIDAY21,24.49,20,COMPLETED
100222,12/12/2021 19:37,12/12/2021 20:10,259,124,1266,Galway,FALSE,,24.49,,COMPLETED
100223,04/11/2021 17:07,04/11/2021 17:34,99,19,1267,Galway,FALSE,,24.43,,COMPLETED
100224,18/06/2021 17:10,18/06/2021 17:40,305,3,1268,Galway,FALSE,,24.38,,COMPLETED
100225,29/11/2021 17:55,29/11/2021 18:22,341,83,1269,Galway,FALSE,,24.38,,COMPLETED
100226,18/01/2021 19:44,18/01/2021 20:11,311,20,1270,Galway,FALSE,,24.16,,COMPLETED
100227,15/12/2021 20:00,15/12/2021 20:27,313,213,1271,Galway,FALSE,,23.99,,COMPLETED
100228,03/02/2021 18:36,03/02/2021 19:03,56,47,1272,Dublin,FALSE,,23.94,,COMPLETED
100229,19/11/2021 17:20,19/11/2021 17:47,267,207,1273,Dublin,FALSE,,23.94,,COMPLETED
100230,19/02/2021 18:33,19/02/2021 19:00,314,48,1274,Dublin,FALSE,,23.89,,COMPLETED
100231,03/10/2021 20:56,03/10/2021 21:23,29,8,1293,Cork,FALSE,,23.89,,COMPLETED
100232,23/06/2021 17:57,23/06/2021 18:27,372,12,1275,Dublin,FALSE,,23.84,,COMPLETED
100233,26/11/2021 22:35,26/11/2021 23:02,276,68,1276,Dublin,TRUE,BLACKFRIDAY21,23.4,20,COMPLETED
100234,19/02/2021 21:48,19/02/2021 22:15,277,349,1277,Dublin,FALSE,,23.35,,COMPLETED
100235,19/09/2021 17:03,19/09/2021 17:33,189,267,1278,Cork,FALSE,,23.35,,COMPLETED
100236,01/03/2021 17:06,01/03/2021 17:33,308,205,1279,Dublin,FALSE,,23.29,,COMPLETED
100237,12/12/2021 17:36,12/12/2021 18:09,115,205,1280,Dublin,FALSE,,23.29,,COMPLETED
100238,03/08/2021 21:46,03/08/2021 22:16,54,71,1281,Cork,FALSE,,22.9,,COMPLETED
100239,06/08/2021 21:32,06/08/2021 22:02,154,6,1282,Cork,FALSE,,22.8,,COMPLETED
100240,11/08/2021 23:25,11/08/2021 23:55,90,3,1283,Cork,FALSE,,22.8,,COMPLETED
100241,18/10/2021 19:17,18/10/2021 19:44,36,186,1284,Cork,TRUE,HAPPYBIRTHDAY,22.8,10,COMPLETED
100242,01/01/2021 20:16,,288,233,1285,Dublin,FALSE,,22.73,,CANCELLED
100243,24/10/2021 18:42,24/10/2021 19:09,320,351,1286,Cork,FALSE,,22.5,,COMPLETED
100244,24/11/2021 18:14,24/11/2021 18:41,360,32,1287,Dublin,FALSE,,22.15,,COMPLETED
100245,02/05/2021 20:12,02/05/2021 20:39,60,96,1288,Dublin,FALSE,,21.77,,COMPLETED
100246,16/06/2021 18:57,16/06/2021 19:24,144,10,1290,Dublin,FALSE,,21.77,,COMPLETED
100247,20/06/2021 20:20,20/06/2021 20:47,141,215,1289,Dublin,FALSE,,21.77,,COMPLETED
100248,18/04/2021 17:48,18/04/2021 18:15,141,39,1291,Dublin,FALSE,,21.71,,COMPLETED
